lesson,group,word,meaning
Phrases,Daily Life,もうおきた。,Already woke up
Phrases,Daily Life,まだねてる。,Still sleeping
Phrases,Daily Life,ちょっとすわるね。,I’ll sit for a moment
Phrases,Daily Life,すぐでるよ。,I’m leaving soon
Phrases,Daily Life,ドアあけて。,Open the door
Phrases,Daily Life,きょうははやくかえる。,I’m going home early today
Phrases,Daily Life,ちょっとまってて。,Wait a moment
Phrases,Eating & Drinking,もうたべた？,Did you already eat?
Phrases,Eating & Drinking,なにたべる？,What will you eat?
Phrases,Eating & Drinking,コーヒーのむ？,Want coffee?
Phrases,Eating & Drinking,それのまない。,I won’t drink that
Phrases,Eating & Drinking,ちょっとあじみして。,Taste this a bit
Phrases,Eating & Drinking,おなかすいた。,I’m hungry
Phrases,Eating & Drinking,もうおなかいっぱい。,I’m already full
Phrases,Movement,いまいく。,I’m coming now
Phrases,Movement,どこいくの。,Where are you going
Phrases,Movement,ちょっとはしった。,I ran a bit
Phrases,Movement,えきまであるくよ。,I’ll walk to the station
Phrases,Movement,ここまがって。,Turn here
Phrases,Movement,さきにいってて。,Go ahead
Phrases,Communication,ちょっときいて。,Listen for a sec
Phrases,Communication,それしらない。,I don’t know that
Phrases,Communication,もうわかった。,Got it already
Phrases,Communication,あとではなすね。,I’ll talk later
Phrases,Communication,ちょっとおしえて。,Teach me / tell me
Phrases,Communication,でんわするね。,I’ll call you
Phrases,Communication,てつだってくれる？,Can you help me
Phrases,Thinking & Feeling,そうおもう。,I think so
Phrases,Thinking & Feeling,そうおもわない。,I don’t think so
Phrases,Thinking & Feeling,なんかわすれた。,I forgot something
Phrases,Thinking & Feeling,ちょっとしんぱいしてる。,I’m a bit worried
Phrases,Thinking & Feeling,もうきめたよ。,I already decided
Phrases,Thinking & Feeling,まだきめてない。,I haven’t decided yet
Phrases,Shopping & Money,これかう。,I’ll buy this
Phrases,Shopping & Money,それかわない。,I won’t buy that
Phrases,Shopping & Money,ちょっとたかいね。,It’s a bit expensive
Phrases,Shopping & Money,もうはらったよ。,I already paid
Phrases,Shopping & Money,どれえらぶ？,Which one will you choose?
Phrases,Shopping & Money,これかりてもいい？,Can I borrow this?
Phrases,Free Time,きょうはあそぶ？,Wanna hang out today
Phrases,Free Time,ちょっとれんしゅうする。,I’ll practice a bit
Phrases,Free Time,うたったことある？,Have you ever sung it?
Phrases,Free Time,えかくのすき？,Do you like drawing?
Phrases,Free Time,うみでおよぎたい。,I want to swim in the sea
Phrases,Exclamations,まじで？,Seriously?
Phrases,Exclamations,ほんとに？,Really?
Phrases,Exclamations,やばい！,Oh no! / Awesome! (contextual)
Phrases,Exclamations,うそでしょ。,No way.
Phrases,Exclamations,まじか。,For real.
Phrases,Exclamations,さいこう！,This is great!
Phrases,Exclamations,だめだ。,This is bad / No good.
Phrases,Exclamations,やった！,I did it! / Yay!
Phrases,Exclamations,まって！,Wait!
Phrases,Exclamations,ちょっとまって！,Hold on a sec!
Phrases,Reactions,そうなんだ。,Oh, I see.
Phrases,Reactions,なるほど。,Makes sense.
Phrases,Reactions,たしかに。,True.
Phrases,Reactions,いいね。,Nice.
Phrases,Reactions,わかる。,I feel you / I get it.
Phrases,Reactions,わかんない。,I don’t get it.
Phrases,Reactions,まあね。,Yeah, kinda.
Phrases,Reactions,そうか。,I see.
Phrases,Reactions,ま、いいか。,Well, whatever.
Phrases,Reactions,へえ〜。,Oh really?
Phrases,Daily Casual,おつかれ。,Good work / Thanks for today.
Phrases,Daily Casual,ただいま。,I’m home.
Phrases,Daily Casual,おかえり。,Welcome back.
Phrases,Daily Casual,いってきます。,I’m heading out.
Phrases,Daily Casual,いってらっしゃい。,Take care.
Phrases,Daily Casual,ちょっとまってね。,Wait a sec.
Phrases,Daily Casual,ごめんね。,Sorry.
Phrases,Daily Casual,ありがとうね。,Thanks (soft/casual).
Phrases,Daily Casual,よろしくね。,Take care of it / Let’s get along.
Phrases,Daily Casual,どうしたの。,What’s wrong.
Phrases,Friends & Family,なにしてるの。,What are you doing.
Phrases,Friends & Family,どこいくの。,Where are you going.
Phrases,Friends & Family,いまひま？,Are you free now?
Phrases,Friends & Family,あとでね。,See you later.
Phrases,Friends & Family,またね。,See you.
Phrases,Friends & Family,まってるね。,I’ll be waiting.
Phrases,Friends & Family,きをつけてね。,Take care.
Phrases,Friends & Family,だいじょうぶ？,Are you okay?
Phrases,Friends & Family,がんばってね。,Good luck.
Phrases,Friends & Family,いいかんじ。,Looks good / Feels good.
Phrases,Softeners,ちょっとね…,Well, kinda…
Phrases,Softeners,まあまあかな。,It’s okay / so‑so.
Phrases,Softeners,そんなかんじ。,Something like that.
Phrases,Softeners,べつに…,Not really…
Phrases,Softeners,とくにない。,Nothing special.
Phrases,Softeners,どうしようかな。,Hmm, what should I do…
Phrases,Softeners,まあいいや。,Eh, whatever.
Phrases,Softeners,そんなことないよ。,That’s not true.
Phrases,Softeners,たぶんね。,Probably.
Phrases,Softeners,いちおうね。,Just in case / sort of.
